iter	R2	RMSE
701	0.7182952548	0.1895078798
702	0.7183738932	0.1894814272
703	0.7184163733	0.1894671361
704	0.718542759	0.1894246112
705	0.7186225996	0.1893977424
706	0.7186559625	0.1893865137
707	0.7187662455	0.1893493916
708	0.7188510307	0.1893208473
709	0.7189853503	0.1892756176
710	0.7190992482	0.1892372561
711	0.7191356547	0.1892249926
712	0.7191970273	0.1892043174
713	0.7192154778	0.1891981013
714	0.7192861074	0.189174304
715	0.7193778931	0.1891433741
716	0.7194811694	0.189108566
717	0.7195370159	0.1890897409
718	0.7196206266	0.1890615534
719	0.7196566041	0.1890494231
720	0.7197141385	0.189030023
721	0.7198009754	0.1890007385
722	0.7198576533	0.1889816222
723	0.7199046046	0.1889657851
724	0.7199379191	0.188954547
725	0.7199945753	0.1889354334
726	0.7201179482	0.1888938055
727	0.72017097	0.1888759123
728	0.7202091771	0.1888630176
729	0.7202751877	0.1888407371
730	0.7203385317	0.1888193544
731	0.7204233426	0.1887907212
732	0.720502488	0.188763997
733	0.7205597289	0.1887446666
734	0.720593546	0.1887332456
735	0.7206518957	0.1887135375
736	0.7207178415	0.1886912614
737	0.7207681466	0.1886742668
738	0.7208600174	0.1886432262
739	0.7209557089	0.1886108891
740	0.7210310768	0.1885854162
741	0.7211184489	0.1885558817
742	0.7212547973	0.1885097825
743	0.7213169455	0.1884887666
744	0.7213437174	0.1884797127
745	0.72140991	0.1884573254
746	0.7214837006	0.1884323653
747	0.721584812	0.1883981583
748	0.7216334139	0.1883817136
749	0.7217143708	0.1883543183
750	0.7218022786	0.1883245662
751	0.7219115342	0.1882875826
752	0.7219490034	0.1882748974
753	0.721987679	0.1882618028
754	0.7220392696	0.1882443342
755	0.72215081	0.188206561
756	0.722231527	0.1881792214
757	0.7222881118	0.1881600532
758	0.7223107389	0.1881523877
759	0.7223735225	0.1881311165
760	0.7224027257	0.1881212216
761	0.7224887905	0.1880920573
762	0.722535465	0.1880762391
763	0.7225678452	0.1880652645
764	0.7226384628	0.1880413279
765	0.7226848888	0.1880255896
766	0.7227732341	0.1879956372
767	0.7228150297	0.1879814653
768	0.7228597925	0.187966286
769	0.7229101975	0.187949192
770	0.7229542705	0.1879342442
771	0.7229943352	0.1879206547
772	0.7230710281	0.1878946386
773	0.7231421373	0.1878705135
774	0.7231919963	0.1878535961
775	0.7232129989	0.1878464693
776	0.7232817136	0.1878231506
777	0.7233554401	0.187798128
778	0.7234441736	0.1877680075
779	0.7235226769	0.1877413556
780	0.7235812018	0.187721484
781	0.7236184092	0.1877088494
782	0.7237092426	0.1876780014
783	0.7237486405	0.1876646199
784	0.7238608427	0.1876265051
785	0.7239641569	0.1875914027
786	0.7240207043	0.1875721872
787	0.7240590002	0.1875591726
788	0.7241192833	0.1875386841
789	0.7242162076	0.1875057375
790	0.7243198148	0.1874705128
791	0.724391487	0.1874461417
792	0.7244669379	0.1874204822
793	0.7245201181	0.1874023945
794	0.7245923848	0.1873778122
795	0.7246430268	0.1873605839
796	0.7246794154	0.1873482035
797	0.7247814194	0.1873134948
798	0.7248158167	0.1873017891
799	0.7248327721	0.1872960187
800	0.7248934773	0.1872753577
801	0.7249565458	0.1872538899
802	0.7250093826	0.187235903
803	0.7251058277	0.1872030663
804	0.7251768241	0.1871788904
805	0.725256104	0.1871518902
806	0.7253171609	0.1871310935
807	0.7253303199	0.187126611
808	0.7254171261	0.1870970391
809	0.7254872638	0.1870731421
810	0.7255446726	0.1870535798
811	0.7255901582	0.187038079
812	0.7256556354	0.1870157629
813	0.7257059965	0.186998597
814	0.7257801301	0.1869733252
815	0.7258535379	0.1869482974
816	0.7258818849	0.1869386319
817	0.7259427924	0.1869178624
818	0.726012318	0.1868941513
819	0.7260626631	0.1868769796
820	0.7261372112	0.1868515499
821	0.7261818557	0.1868363192
822	0.7262473252	0.1868139818
823	0.7262873541	0.186800323
824	0.72635364	0.1867777027
825	0.7264296342	0.1867517659
826	0.7265416545	0.1867135268
827	0.7265907306	0.1866967719
828	0.7266672941	0.1866706294
829	0.7267142132	0.1866546072
830	0.7267901493	0.1866286732
831	0.7268388383	0.1866120428
832	0.726873947	0.18660005
833	0.7269238884	0.1865829892
834	0.7270022868	0.1865562039
835	0.7270804334	0.1865295008
836	0.7271258325	0.1865139859
837	0.7271776019	0.1864962925
838	0.7272352018	0.1864766044
839	0.7273374651	0.1864416447
840	0.727374628	0.1864289387
841	0.7274363749	0.1864078253
842	0.7274953016	0.1863876741
843	0.727584204	0.1863572679
844	0.7276393785	0.1863383947
845	0.7277365173	0.1863051625
846	0.7278066798	0.1862811554
847	0.7278487947	0.1862667438
848	0.7278928084	0.1862516812
849	0.7279617883	0.186228072
850	0.7280553967	0.1861960287
851	0.7280974296	0.1861816385
852	0.7281573523	0.1861611218
853	0.7282261137	0.186137576
854	0.7283173559	0.1861063275
855	0.728360003	0.18609172
856	0.7283882224	0.1860820537
857	0.7284310408	0.1860673856
858	0.728464201	0.1860560253
859	0.7285269568	0.1860345239
860	0.7285675838	0.186020603
861	0.7286142977	0.1860045951
862	0.7286645367	0.1859873777
863	0.7286922803	0.185977869
864	0.7287342648	0.1859634786
865	0.7288116858	0.1859369391
866	0.728849061	0.1859241257
867	0.7289192268	0.1859000683
868	0.7289603216	0.1858859769
869	0.7290015407	0.1858718418
870	0.7290270367	0.1858630981
871	0.72907828	0.185845523
872	0.7291291733	0.1858280665
873	0.7291822218	0.1858098689
874	0.7292421736	0.1857893011
875	0.7293099922	0.1857660317
876	0.7293776398	0.185742818
877	0.7294070509	0.1857327245
878	0.7295001503	0.1857007704
879	0.7295617752	0.1856796162
880	0.7295934517	0.1856687415
881	0.7296695444	0.185642616
